year,region,driving_licenses,no_accidents,casualties_dead,casualties_injured,geo_point_lat,geo_point_long
2016,Al-Baaha,4614,3618,185,1227,20.1484058503,41.4665484892
2016,Al-Jouf,9371,10212,245,920,29.9677445762,39.5570371172
2016,Asir,41367,32684,983,2541,19.1387847401,42.941470036
2016,Eastern Region,142307,101619,1113,4893,23.2883307307,50.1478302439
2016,Hail,54507,10199,299,932,27.400845724,41.4406960508
2016,Jazan,11504,25873,514,2259,17.2072313962,42.6525807422
2016,Madinah,24540,14475,822,4184,24.927534539,39.4918237173
2016,Makkah,136055,134838,2243,12383,21.628962766,41.2636898334
2016,Najran,2153,3235,173,706,18.4511003068,46.8688495726
2016,Northern Border,4958,13196,193,631,30.197074783,41.8171186952
2016,Qassim,9180,25664,397,1513,26.1967063704,43.3429998455
2016,Riyadh,242851,141736,1430,4207,23.0814341634,45.5857512766
2016,Tabouk,13610,16031,434,1724,27.90165499,37.2598581394
2017,Al-Baaha,4131,1414,134,1007,20.1484058503,41.4665484892
2017,Al-Jouf,8091,10469,240,862,29.9677445762,39.5570371172
2017,Asir,39133,25245,828,2368,19.1387847401,42.941470036
2017,Eastern Region,126816,81433,963,4073,23.2883307307,50.1478302439
2017,Hail,22035,9379,265,773,27.400845724,41.4406960508
2017,Jazan,18345,22161,466,2207,17.2072313962,42.6525807422
2017,Madinah,36165,16070,580,2917,24.927534539,39.4918237173
2017,Makkah,142487,145541,1641,10623,21.628962766,41.2636898334
2017,Najran,13825,3193,194,766,18.4511003068,46.8688495726
2017,Northern Border,5280,11540,112,374,30.197074783,41.8171186952
2017,Qassim,6318,22405,319,1446,26.1967063704,43.3429998455
2017,Riyadh,495307,99925,1399,4540,23.0814341634,45.5857512766
2017,Tabouk,10232,11713,348,1243,27.90165499,37.2598581394
